Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
26438,10008420,犬用黃金咖哩飯,63.4874,82.72,1.6909,0.2484,0.0581,0.8202,14.5204,2.5545,21.4802,375.4792,17.0424,17.5297,0.4947,0.2951,42.3847,7263.1672,1.0702,41.988,30.4584,58.059,56.1073,52.9371,1176.4749,0.0,6
26439,10008422,犬用鮮蔬豬軟骨,236.0556,68.4558,10.9949,19.9325,7.5043,0.8045,2.5681,0.8140000000000001,84.6506,207.8962,16.3068,13.8537,0.8078,1.9842,97.0385,5332.0955,0.7418,10.9145,6.3318,7504.3,8025.2358,4132.6545,8144.1306,53.2679,6
26440,10008425,世足賽事,65.5149,84.338,3.8855,1.6986,0.5481,0.8007,9.2772,2.164,84.0291,251.4673,27.8043,16.3243,0.7984,0.6202,66.9266,13169.4197,0.6062,36.1473,9.379,548.1189,704.8157,360.8514,3133.1885,67.0149,6
26441,10008492,冬粉2 0,99.2833,78.6279,1.6963,4.074,1.5252,1.2008,14.4651,1.4608,215.2704,267.0255,49.3553,13.3878,1.0106,0.3345,40.0118,4832.2187,0.5364,4.7361,14.7236,1525.2358,1758.4594,647.4465,847.8411,5.3301,6
26442,10008493,冬粉炒高麗菜,101.4768,73.1321,2.7731,0.8337,0.1324,1.9911,21.27,1.569,385.7463,333.2044,85.15799999999999,21.6537,1.0306,0.3468,63.2865,5181.8293,0.5274,16.2923,16.0751,132.4423,234.9661,377.9908,1384.9719,17.6901,6
26443,10008526,半電子鍋副食品-四色蔬菜泥 空心菜泥,47.1996,87.8295,2.4494,0.5859,0.1263,0.6333,8.5018,1.8749,19.0437,189.7107,43.0244,23.0214,0.7053,0.391,50.5074,6891.2817,0.4073,10.0621,17.2428,126.35,26.9298,264.9073,1358.8543,0.0,6
26444,10008620,古早味九層塔煎蛋 台式烘蛋 清粥小菜,177.5291,71.8519,7.8921,14.9845,5.6486,1.5952,3.6765,1.5059,221.9512,301.875,95.3745,25.8823,3.3589,0.9223,121.0065,5736.2034,1.1918,38.1188,4.9836,5648.5728,6601.9732,2611.3544,8029.6031,219.6087,6
26445,10008690,古早味粉漿蛋餅,188.6069,55.38,7.7521,2.5879,0.8129,1.0364,33.2436,1.6595,141.3085,283.822,29.629,18.9845,1.0164,0.7145,85.7785,6854.842,0.9322,40.7442,4.5552,812.8413,996.472,755.0439,8053.4406,88.3846,6
26446,10008811,古錐大眼蛙,65.6909,82.6908,2.5151,0.183,0.0445,0.6129,13.9981,1.9765,28.3454,226.6913,21.9191,15.636,0.5457,0.4431,48.2074,5595.774,0.4982,30.0417,20.8715,44.5425,37.8601,69.1104,1740.8576,0.0,6
26447,10008930,可愛的雪人土司-只要四步驟(剪烤灑放),165.8699,58.647,2.5557,1.0711,0.4852,0.6662,37.0599,2.3414,122.4912,161.8717,23.2821,14.162,0.597,0.3217,40.8209,12756.7992,0.5061,34.6852,3.3131,485.1944,361.6904,185.3672,1986.6703,0.9588,6
26448,10009066,台式壽司,148.9385,65.3513,5.367999999999999,2.5428,0.8423,0.7894,25.9485,1.2064,184.8555,122.3336,25.6203,12.9792,0.7234,0.6132,63.7983,5675.3857,0.8982,20.3664,3.0334,842.3255,1180.0582,502.9181,5866.1916,37.147,6
26449,10009121,四色豆包捲,105.00399999999999,76.4072,7.7358,2.8714,0.4399,1.0297,11.9559,1.7398,39.1033,336.7884,31.5425,36.8391,2.1444,0.8844,130.2323,3937.9229,2.2501,21.4745,7.0463,439.9277,603.6508,1754.6398,8061.4488,0.0,6
26450,10009122,四色拌麵 牛頭牌端午好香拌,134.8696,66.5531,4.1818,2.2704,0.4287,2.1635,24.8312,2.4539,584.4022,164.7278,187.5266,24.2272,0.972,0.4867,62.8904,4685.9561,1.2177,22.6448,4.3623,428.67,475.158,1230.7012,3545.7656,0.8154,6
26451,10009133,四季豆炒雪白菇,43.6742,86.4244,2.2497,0.2385,0.0837,1.9769999999999999,9.1104,2.6361,281.4994,610.0863,18.2744,15.2522,0.9768,0.4337,64.3885,6071.6311,0.1967,19.8714,4.8231,83.7102,60.9532,64.0926,1169.2595,0.0,6
26452,10009182,外酥內鬆軟烤薯塊(烤箱),222.6703,63.2895,2.6667,19.3945,3.2107,4.1312,10.5231,2.4959,581.2412,1162.1901,127.7758,37.644,2.8258,0.7311,43.4513,5430.5830000000005,4.4386,10.4158,19.4523,3210.6374,14103.7912,1878.1689,2273.6946,0.0,6
26453,10009405,奶油雞肉捲,177.7973,57.4881,5.6160000000000005,4.9718,2.1390000000000002,1.6708,28.016,1.4907,309.7944,355.6727,56.515,16.5095,0.794,0.5032,71.7207,7398.2078,0.4847,13.8449,3.5055,2139.0383,1855.6715,973.9123,5041.1286,17.6157,6
26454,10009406,奶油雞肉捲  好侍北海道白醬料理,57.3539,31.7906,3.0573,2.6689999999999996,1.2002,0.4273,5.3033,0.7087,76.8091,78.6375,30.0047,6.7053,0.1777,0.281,39.3239,4526.6668,0.2157,7.7838,2.1406,1200.2477,1004.16,462.8626,2732.1153,10.515999999999998,6
26455,10009450,奶香蛋炒吻仔魚,128.3251,78.671,3.1832,10.1828,7.085,1.3193,6.6687,2.0793,252.0706,240.0096,43.5578,24.1646,0.3376,0.461,70.8896,8096.9661,0.6195,14.1029,20.0753,7084.9967,2445.6943,495.6088,1857.932,42.5894,6
26456,10009547,孕產料理 清燉牛肉湯  蒸健康寶寶鍋,87.6342,83.3577,3.9577,4.9798,2.1988,1.0287,7.0792,2.3209,210.4787,284.3979,18.8782,14.7795,0.9209,1.3514,63.4476,9885.8992,0.2564,20.941,3.7609,2198.8312,2519.0923,151.3515,3450.3109,12.2547,6
26457,10010029,幼兒食譜 蘋果蕃茄牛助,85.2135,82.9136,5.4318,4.2338,1.7901,0.5836,6.8371,1.4849,58.9702,226.5557,15.8663,10.3452,0.9021,1.9193,50.3669,8978.1921,0.3398,9.7869,5.1379,1790.1198,2254.9887,165.1227,5203.5813,18.7314,6
26458,10010047,母親節大餐-壽司 茶碗蒸,181.3496,56.7254,8.0913,2.1954,0.6145,0.9096,32.0783,1.5078,216.10299999999998,162.7553,23.3295,19.7025,0.7337,0.9655,101.0608,6847.5105,1.0686,31.7825,2.9533,614.4397,810.2115,749.8607,7608.1215,47.8365,6
26459,10010066,玉子燒,109.6337,74.2516,10.4783,4.1622,1.3015,2.4598,8.6481,5.1364,308.1904,679.8839999999999,77.1063,37.9251,2.296,1.0869,163.9939,4005.6112,3.0678,30.3273,9.0704,1301.4761,1949.6204,896.0789,9543.0121,148.5595,6
