Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
19708,10000059,冰糖綠豆薏仁湯,367.3537,7.9926,13.8067,2.5499,0.4513,1.9506,73.7001,6.7678,1.0379,457.45099999999996,49.2188,122.7584,2.9279,2.1571,250.2898,46.6544,5.3935,198.8056,4.94,451.3061,1207.6298,889.9216,12999.5668,0.0,4
19709,10000129,10分鐘快速做 美味草莓紅豆大福,257.7503,17.6312,9.3457,3.9061,1.5125,1.3411,46.8029,7.6399,4.7505,505.224,40.118,69.4278,3.0101,1.4647,188.1524,14.8926,4.5376,65.4301,7.7463,1512.5295,1632.6863,759.5364,9061.7552,3.9548,4
19710,10000165,NU-SC100 杏仁瓦片,386.9311,29.2473,15.2001,25.9229,5.3313,1.5263,28.4598,2.8287,46.1046,312.8266,129.7967,124.5669,1.9191,1.7958,255.46900000000002,259.0514,8.8081,43.5516,0.7722,5331.2995,14900.0707,5626.3229,13614.2561,110.3761,4
19711,10000182,(全素)香菜豆皮捲,330.3049,39.1424,17.8452,27.5424,4.2772,11.3751,4.0949,1.6483,1885.3737,2973.2431,107.6849,86.0327,4.902,1.5386,287.7855,1069.1555,13.9123,62.7193,1.4345,4277.2292,7949.218000000001,15315.4556,20692.061999999998,0.0,4
19712,10000199,(免泡水) 紅豆湯 - 超簡單,323.6755,10.1457,15.1158,0.4495,0.1215,7.478,66.811,13.3394,995.2534,2278.1738,78.5596,119.3611,5.3523,2.2128,323.7235,0.0,8.0467,81.9729,0.8953,121.4864,47.1129,278.8044,14706.7927,0.0,4
19713,10000222,(氣炸鍋)花生芝麻千張餅,355.4059,40.2398,24.7611,25.4579,4.5031,2.1406,7.4005,3.9382,103.2457,439.42199999999997,50.8073,132.2405,4.1449,2.4088,404.9555,4.8331,12.5882,73.5604,0.6146,4503.159000000001,10055.0291,10897.7595,28382.0904,0.0,4
19714,10000226,(素)(電鍋料理)超簡單三步驟鍋炒栗子,263.8746,34.32,4.6115,1.44,0.2535,1.6875,57.941,10.4217,1.0635,757.7710000000001,38.5032,59.5086,1.1540000000000001,1.0485,113.6786,24.6407,14.3355,62.1929,14.6675,253.4587,520.3152,665.0582,4106.668,0.0,4
19715,10000231,(素)涼拌滷豆 淬釀真心食堂,203.5856,46.7908,11.8104,0.8347,0.2582,2.4068,38.1574,11.2956,263.1022,634.2504,56.1515,94.5482,2.9188,1.5653,195.6014,113.7436,5.1442,199.9979,14.0949,258.2116,104.1273,424.5731,11035.0365,0.0,4
19716,10000236,(素)薯片 薯條,668.7808,20.8005,0.6452,73.2578,11.7898,0.7623,4.5616,0.3406,188.7677,102.6775,1.7493,5.8163,0.1772,0.2479,10.3553,11.4687,59.4851,3.4487,6.6975,11789.7922,17383.0321,43888.5796,463.9988,0.0,4
19717,10000242,副食品 1歲以上   香菇肉丸子,347.39099999999996,37.1928,16.8429,22.7754,8.7609,1.9866,21.2024,11.9503,32.4021,827.0885,13.5939,48.364,1.5573,3.2478,268.8666,55.5737,0.3512,106.1046,1.2368,8760.9382,10032.8221,3933.4291,14344.7589,46.6569,4
