Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
10361,10000002,安柏m龍貓可愛造型便當,152.63299999999998,64.3049,14.6177,2.4025,0.9428,1.0272,17.6478,0.3851,287.91900000000004,110.2906,32.383,22.3376,0.7859999999999999,1.3414,185.2241,214.5243,1.3923,18.0078,1.6357,942.7808,560.3056,894.6704,14561.327,74.8733,3
10362,10000003,免烤箱--電子鍋做蘋果起司蛋糕,250.7172,51.3683,9.0151,13.4783,9.1339,1.9357,24.2025,0.4751,567.3059,87.6019,210.6897,13.481,0.8145,1.2963,185.2381,582.618,0.8506,19.0893,1.655,9133.8722,3554.3582,708.5105,9576.402,103.8626,3
10363,10000011,阿公好料 蒲燒鯛魚(15分鐘完成),126.0081,70.7505,15.7992,3.5585,0.9519,1.3567,8.535,0.1119,281.3089,307.887,12.9485,29.9799,0.342,0.8537,152.9469,5.0951,1.0786,16.9173,0.9266,951.8532,1552.9029999999998,1053.7247,14703.9911,31.9403,3
10364,10000014,粉豬兒 椒鹽雞大腿,213.7506,67.8144,14.2948,16.7897,4.9911,1.0741,0.3155,0.1049,204.25599999999997,242.1793,14.0566,20.2119,2.0073,2.0273,153.3368,130.1816,3.1919999999999997,15.2736,2.9921,4991.1658,8162.581999999999,3652.3884,14770.196000000002,95.5776,3
10365,10000023,涼拌香檸魷魚 --美魔女Jolyn,67.23,80.8572,12.0974,1.0014,0.1527,1.2672,4.7767,1.2754,289.0448,124.1771,40.2312,43.1572,0.5775,0.9778,150.5584,461.9551,3.4553,31.0207,0.46399999999999997,152.6355,254.9757,380.2213,11867.0892,250.4033,3
10366,10000044,XO醬炒蝦仁與蛋 蝦仁炒蛋,226.58900000000003,65.1035,9.1344,20.2506,4.1302,2.7523,2.7621,0.3836,573.0223,579.5893,56.592,16.7311,1.4039,1.0166,173.4113,329.8708,6.5516,37.178000000000004,2.2062,4130.1647,11037.4947,5073.7228,9123.5681,184.2593,3
10367,10000046,三杯雞,171.9841,71.1685,16.5337,10.0876,2.2404,1.2566,2.2879,0.2041,367.8262,240.8722,7.5474,23.9576,0.8017,1.6345,121.7761,532.0756,3.6634,8.9301,2.1517,2240.4163,3963.5319,3864.3762,11089.2766,80.1652,3
10368,10000055,外表看似嗆辣 青龍辣椒炒丁香豆干 其實內心很溫柔的,262.5821,43.0415,19.0481,10.1413,3.4039,5.1956,22.9378,1.4293,989.7645,546.7817,613.8769,67.5999,3.1198,1.8064,243.6294,112.64,1.7811,27.8942,19.9586,3403.9009,3620.9989,3118.7781,16714.4523,150.3892,3
10369,10000073,炒麻油雞,194.4259,67.2681,11.739,13.130999999999998,2.5701,2.5014,6.2175,0.465,919.0564,239.3445,4.0959,26.9008,1.0390000000000001,1.168,97.2028,28.7509,6.7102,16.7672,1.4596,2570.1096,5097.2899,5451.7984,7949.2278,50.7151,3
10370,10000074,南瓜燒雞肉,193.44799999999998,69.4355,11.6425,13.6295,3.5642,1.045,5.534,0.7516,105.2815,289.3896,6.5312,10.7692,0.5075,0.3263,64.169,1271.1832,0.6719,25.8235,14.4933,3564.1421,5560.1214,4502.9865,10637.9238,50.1637,3
