,Calories,Moisture,Protein,Saturated_fat,Carbohydrate,Dietary_fiber,Mg,Fe,Zn,VitaminA,VitaminB_group,Fatty_acid_S,Fatty_acid_M,Fatty_acid_P
Cluster1,0.04845212595896970,0.35798770162653400,0.087483661397522,0.040301785460600400,0.5881111233638230,0.06756402850671800,0.0397103549746214,0.00791429270236886,0.06985674823730380,-0.017834548029161500,0.2277434605389640,0.04046851378116120,0.12364551349616100,0.09507233182006490
Cluster2,0.5433819490065790,0.3802553869366620,0.2590561152928080,-0.10432868727747300,0.33598436797543800,-1.9643586477924400,-0.869598169228193,-3.88080059944543,-0.39176758919829000,0.766595424082959,-3.220457689701930,-0.10349769786394300,0.1905626025564830,-0.7828416617494030
Cluster3,0.044021256003287700,-0.25814742943508100,-0.12052983537272300,0.028265646324439200,-0.48821280020118500,-0.07684418553689750,0.033060316404187600,-0.06435206697019710,-0.05833363905316930,-0.3904971913875510,0.058919602430955900,0.028364487417114900,-0.03243108929509520,0.16831637328794300
Cluster4,0.6480981394916410,0.23832645833399500,0.07996350010874130,0.11134070607794300,0.1840385793677930,-0.1991494271129190,0.09451574314213970,0.35706235870466600,0.03869343676234930,-0.1809219138886350,-0.0780030033011797,0.11111625638759700,0.27564322316831000,-0.31865856522639000
Cluster5,0.5747479474139080,0.28833038816481600,0.41467597977172000,0.5963841727370480,0.28817886189221700,0.45393266165305100,0.49958967066508,0.3325768391869830,0.4838424716001040,0.3424448718821090,0.16237896543494300,0.5961712375888780,0.48615534532101300,0.5075988387621710
Cluster6,-0.3049029684358040,-0.22865850516351700,0.43827996470983200,-0.052187633866562400,-0.4908947765964020,0.13262859730262100,-0.15297565931135400,0.23870042225678200,-0.006937430556423000,1.8511814700775400,0.5739325588570960,-0.05203416765774030,-0.2793899157858110,0.09024868102935730
Cluster7,-0.3110817084377180,-0.19787375577197100,-0.19641266065725200,-0.23445684158591300,-0.18657005085438200,-0.0758698703031074,-0.1760434535854950,-0.07401323729708780,-0.15437076061830600,-0.14600640544297000,-0.22760464993308200,-0.23450667278132600,-0.22301291128235900,-0.20936920733502700
