cluster,count,median_A1,median_A2,median_A3,median_A4,median_A5,median_A6,median_A7,median_A8
1,1916,-1.55342552330006,-0.736168855507004,-1.24341427830274,2.55059489317549,0.254839627500683,0.710914735173559,1.42884182768933,0.319029081546089
2,9714,0.56332837883356,-0.0799183497789095,-1.35967702369677,-0.765381692708422,0.270652930885244,0.0831192718455731,0.258212825399908,-0.115817568304172
3,10546,0.158284005758443,0.145734807521668,1.53618313862489,-0.388678289047789,0.00422875740544303,0.291231760163006,0.409414197469139,-0.137203700027244
4,201,4.49323821360846,-5.52657674118564,0.412979918053121,1.80719158618268,-1.33814099585677,-4.67352728900666,0.421340964968212,-4.10967792654695
5,5000,2.90317235695789,1.83050813886061,0.384180681881794,0.749301040798601,0.623621038649607,-0.0769707093600772,-0.43960373789481,-0.0833862478333545
6,18442,-1.67452298120177,-0.0399419804033199,-0.223592172039975,-0.021170001695701,-0.140110176934252,-0.258658120612122,-0.347495523210125,0.11723284222587
