"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8"
"Calories.kcal.",17.5816628549812,2.98175911739582,2.33602819768736,0.00188187580056658,0.0473020611275257,1.4367595190039,0.721120387656475,0.0649069537629839
"Moisture.g.",6.45473191421938,1.17860603549909,22.3423272771354,1.386629773269,0.662240318786919,0.097797474873126,8.34783982253801,0.567981947612694
"Protein.g.",6.78018567090497,2.63760068417705,6.87793532261462,16.8872480352687,9.98081326634752,2.05799127263763,11.8551723989125,1.4183806969226
"Saturated_fat.g.",11.7522303300114,11.0527433266534,0.810377730293759,4.92154417637892,4.33851211309824,1.19905772741972,5.21329313168366,0.00324150705429971
"Carbohydrate.g.",4.10968026583571,0.00126447152698485,38.9747341320841,0.062207038403745,0.610771094140586,1.97256986296622,3.00630276040953,0.00341458382907194
"Dietary_fiber.g.",2.97079327926917,18.9763660048992,3.035275443115,5.179627044728,2.75862632327607,1.64608567292531,8.50130721703769,24.6971620898223
"Mg.mg.",9.29329382763466,12.6306149371346,0.00147652635067407,0.0423592974521054,0.741303888899364,6.0619377697423,1.20458488397648,6.23885552303288
"Fe.mg.",3.87964357086317,13.5926962316128,0.109081059916659,2.62912717475022,1.40888288513885,23.60004710881,0.00774529708962591,50.3009447178407
"Zn.mg.",7.16548904938266,6.63152775950899,6.3914907379144,6.48109472272833,12.92892675334,0.0802744375819654,0.630564688493718,7.39125598131997
"VitaminA.IU.",0.118615394637794,1.0930118894709,4.12699710618833,55.3990130916576,1.36342838554691,6.718172320208,30.2773345435995,0.204182479228054
"VitaminB_group",1.84482131392236,12.9699015749094,0.121332769167232,0.550328245836143,1.19647149271327,46.8972724748543,22.2873531335595,9.00348101424104
"Fatty_acid_S.mg.",11.7501054672065,11.0559186823941,0.812429769896037,4.91344413263947,4.33848567767251,1.178046101177,5.25009891214334,0.00193017545426705
"Fatty_acid_M.mg.",11.2849711836073,5.05816145872952,7.54964761046484,0.109401753696717,4.89068493914718,0.0542586995596336,0.834264182614309,0.084401243095813
"Fatty_acid_P.mg.",5.01377587752365,0.139827826088013,6.5108663171716,1.43609363739044,54.7335508007651,6.99972955824087,1.86301864028573,0.019861086783289
