Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
10173,10000370,家常菜 涼拌龍鬚菜,394.4396,11.6917,15.4421,13.9531,3.533,4.1439,54.7692,8.145,755.0974,115.3528,709.1785,86.3671,24.1458,1.4934,113.6807,32.536,6.1542,18.5491,0.0,3532.9442,4970.9354,5449.8893,23229.0749,37.3653,2
10174,10000386,留學生食譜 味噌雞肉丸子烏龍麵,132.7732,72.8839,7.6659,4.8995,1.4706,1.2821,14.3017,1.0218,549.6563,1266.8735,596.8447,175.1486,12.8384,2.503,200.4111,1956.7577,0.3902,16.2502,1.874,1470.5594,2200.2646,1252.519,7321.0582,41.4425,2
10175,10000487,[SDS] 自己做香草精,312.4458,7.6292,24.3625,7.4958,1.5042,12.8542,47.6625,25.0417,27.9083,2404.1292,3073.4208,662.8792,53.2792,4.6208,260.2417,27139.7125,15.4375,197.0583,141.4875,1504.75,1498.2292,4491.9167,20586.1875,0.0,2
10176,10000639,生酮低醣餐 麻香龍鬚菜,324.2157,22.5319,8.5272,9.3417,7.7251,3.2995,56.2998,11.9844,84.9044,112.2897,938.4074,112.7243,32.3806,1.5378,69.1832,5.9885,1.295,28.2379,0.3523,7725.1256,988.1202,616.9969,15596.8655,0.0,2
10177,10000904,[湯料理]沙茶豬血韭菜湯,52.6793,88.05799999999999,5.0747,2.613,0.5365,1.7551,2.4992,1.0443,331.1494,401.9774,34.1245,12.7222,19.5476,0.3092,65.483,1369.93,1.6619,51.7273,5.3708,536.5521,601.5281,1474.8807,2996.0109,34.4669,2
10178,10001163,佑佑低GI烤雞翅,236.3372,55.424,14.5262,14.1865,3.5362,3.6859,12.257,6.3605,1080.4792,475.0586,140.1815,73.9422,11.5987,1.7530000000000001,172.6929,149.3978,14.0024,35.1797,1.7149,3536.1193,6762.0495,3895.4822,13489.7504,70.0115,2
10179,10001592,家樂氏Specil K  棉花糖脆餅,434.3552,3.952,6.2797,17.543,12.0232,0.0036,66.4913,2.4882,551.5182,131.0988,67.3935,29.7684,21.8693,0.0669,4.9682,1973.0381,0.5442,6.04,15.8341,11947.8101,4423.9427,558.5078,130.4211,42.3735,2
10180,10001682,超快速懶人窈窕輕食 脆片冰磚,245.7943,41.3251,4.5033,5.9039,5.0816,0.5086,44.99100000000001,1.202,330.3721,209.3251,72.5561,23.1057,10.5898,0.2543,52.1332,650.5144,0.08900000000000001,4.4637,7.6488,5045.1367,519.5022,88.9638,1754.7258,6.2305,2
10181,10001730,15分鐘上桌 泡菜起司炒烏龍麵,148.0952,70.7249,4.7464,7.1403,2.8724,0.987,16.4954,1.0091,594.5893,1374.1335,747.2594,210.6783,15.7497,2.8983,224.9965,72.1638,0.1297,11.9602,9.8481,2872.4197,3085.9240000000004,1157.4965,4522.0057,11.7364,2
10182,10001983,中秋烤肉醬 簡單沙嗲醬   雞肉串,479.8042,12.3998,14.4082,31.8935,3.8118,4.2167,37.0818,8.9793,885.7085,728.9565,226.0833,150.7702,14.102,2.3025,310.9253,74.8044,24.4091,39.8762,0.0,3811.79,6728.5653,12143.7409,5632.9505,8.9918,2
10183,10002537,厚生廚房 龍鬚菜炒肉絲,328.2513,27.7285,8.9147,12.5833,4.9952,3.0449,47.7288,7.4185,240.9167,326.6813,591.5588,72.1237,20.44,1.3418,71.7535,38.0876,0.7909,18.9328,0.3694,4995.1759999999995,5531.7836,2039.6231,13188.8313,21.6497,2
10184,10002578,浅漬  昆布風味小黃瓜,145.5918,41.9305,14.6765,0.4979,0.0967,16.492,26.4031,21.7674,5053.9039,270.0555,601.878,333.7845,17.9803,3.6084,231.1661,2521.7092,0.6868,27.0135,4.2075,96.7058,30.8744,369.9646,11315.5625,0.0,2
10185,10003205,影音 酥炸蟹肉棒(蟳味棒蟹柳),245.3967,35.0867,6.3683,0.7733,0.125,4.8367,52.9367,17.535,277.0367,101.2667,386.38,296.8183,35.7633,1.6417,222.5983,52.2767,1.06,41.02,0.7333,124.5517,202.8767,445.2117,5390.9883,36.1433,2
10186,10003692,宛 涼夏好食光  韓式泡菜涮豬肉烏龍涼麵,241.703,60.5842,7.8256,16.9709,7.8439,0.8622,13.9711,1.1873,399.0581,1053.2231,582.8589,170.8619,12.8274,2.8452,183.2175,93.059,1.3173,16.7109,3.0084,7843.8738,7348.2416,1648.9434,7022.606,24.9225,2
10187,10003723,乾煎秋葵,137.8042,63.4075,2.6142,0.4258,0.0525,2.3033,31.25,11.2667,46.28,174.4033,202.4983,167.6783,18.235,0.7042,64.535,1530.485,0.4733,16.4025,7.93,52.4983,91.9775,208.855,1068.7833,0.0,2
