Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
21379,10000018,親子食堂 Hlloween香蕉巧克力吐司,466.3736,20.1594,8.8742,31.6908,20.3664,2.3916,36.8841,10.245999999999999,66.0017,768.1429,61.7763,199.2452,7.3228,2.8743,291.8661,30.3045,5.6666,30.5922,2.0506,20366.403000000002,10067.6139,1251.2762,7206.7357,0.9279,5
21380,10000045,小吟愛做菜 蕃茄玉米洋蔥蛋焗烤,215.2357,59.8334,5.4174,13.2512,8.969,1.8301,19.6678,1.0991,315.7437,340.8285,132.1998,14.3366,0.4869,0.868,116.1576,667.4739,0.6674,13.6397,5.1997,8969.016,3472.4804,648.5317,4614.0608,73.4652,5
21381,10000051,太陽蛋吐司,275.9024,50.2356,11.7481,18.5113,11.702,3.1503,16.3546,0.6615,840.3982,458.3433,52.0554,17.2465,1.2513,1.2109999999999999,168.3494,618.3392,1.1327,37.1603,9.9933,11701.9889,5385.5791,1173.5732,11520.6719,102.741,5
21382,10000052,手工餅乾,482.5055,9.7711,4.8347,25.9984,17.7203,1.1875,58.2083,3.0869,7.8697,579.8406,26.1851,52.074,1.8527,0.8993,115.0233,860.762,1.6222,17.6079,1.8025,17720.3621,6801.9629,1052.4194,3699.3679,57.6655,5
21383,10000057,奶酥餅乾,417.3935,19.4946,7.3047,20.6149,13.9154,1.1486,51.4371,0.7953,181.6503,175.458,89.1727,20.2779,0.816,0.7172,117.941,736.9418,1.2317,28.0156,3.8162,13915.3709,5366.2932,1283.5894,7464.4923,106.6066,5
21384,10000058,巧克力布朗尼 烘焙展食譜募集,461.3004,22.1549,6.7839,31.8221,20.8045,1.3231,37.916,4.2236,35.3141,492.5469,41.0096,84.131,3.4591,1.5541,171.7893,831.5671,3.0492,25.3833,0.6159,20804.5093,9200.6043,1468.776,5963.3984,133.4,5
21385,10000082,香噴噴咖啡豆餅乾(無泡打粉),416.0821,23.0499,5.5197,22.4895,14.907,0.3576,48.5832,0.8945,22.093000000000004,92.9663,17.5699,14.0966,0.8958,0.5329,65.2757,830.0736,1.3534,28.3143,2.3912,14906.9567,5939.9727,1253.2744,5610.0196,102.8726,5
21386,10000086,格子餅乾,376.4339,29.9301,6.0289,21.1242,13.8973,0.9025,42.0143,0.7181,188.115,140.85,23.1598,15.0425,1.0625,0.6662,89.1241,684.5884,1.4048,30.5723,1.3099,13897.2792,5742.0274,1445.7174,5994.9264,166.5076,5
21387,10000110,精燉肉燥繽紛蔬食煎烤麵記憶中的味味麵,263.4037,58.9714,7.4284,21.8801,12.2132,1.5474,10.2455,0.8755,438.7756,142.2115,21.7993,12.1019,0.9042,0.7983,110.09299999999999,1023.4137,2.964,26.0497,44.8878,12213.2522,7379.0998,2121.7129999999997,6959.0475,158.5567,5
21388,10000128,Mdeleine  (檸檬柑橘瑪德蓮貝殼蛋糕) 香芬祕密大公開,245.9216,52.5334,4.4423,12.7025,8.1635,0.6476,29.6742,1.0865,115.8028,105.1157,23.6907,10.5208,0.7553,0.4811,67.4377,420.7058,1.0042,25.2199,12.8719,8163.5261,3459.4869,1038.9689,4084.3599,110.5644,5
21389,10000139,檸香巧球塔  白耶誕乳酪  甜點也要過聖誕,272.1138,37.3626,4.4977,13.7314,9.2078,0.46799999999999997,33.7431,0.4335,25.5412,104.0004,51.6748,11.38,0.4193,0.446,62.9575,469.1507,0.6806,14.9836,2.0136,9207.743,3627.5096,699.9535,4818.4515,57.9397,5
21390,10000143,15 咖喱飯 雞肉風味,259.9789,55.4066,6.7634,19.14,9.9862,3.5687,15.2191,1.9247,1104.6541,224.3209,34.0717,20.9286,1.1593,0.9838,83.281,3542.7592,3.0147,11.3536,4.2474,9986.2155,7244.2032,1781.2849,6591.9178,56.0599,5
21391,10000153,果醬奶酥餅乾  母親節,360.4043,28.2169,4.7245,15.3425,10.0547,0.3813,51.3347,0.9819,25.6442,90.6551,22.185,12.5431,0.7749,0.4802,62.6655,563.1534,1.1517,23.8819,1.8465,10054.698,4077.0227,968.5834,4867.3064,81.3979,5
21392,10000169,(小v )vitntonio蕾絲薄餅,307.5046,42.3042,6.6224,16.3724,10.238999999999999,0.5537,34.1473,0.5327,50.6577,106.3786,37.6313,12.8819,0.983,0.6956,95.7765,654.3998,1.2391,32.5385,1.5733,10239.0281,4698.6281,1202.016,6828.9437,152.4674,5
21393,10000170,(不失敗)濃郁布蕾,279.4996,51.3261,7.1014,23.3131,15.1998,0.9757,13.2059,0.0231,84.1377,195.6481,132.7689,15.9065,0.8338,0.8702,149.9827,899.0087,1.1113,23.156999999999996,2.4255,15199.8154,6724.0948,1203.2176,7347.9508,181.187,5
21394,10000189,(有蛋法)美奶滋(附過程圖片),371.8483,18.5551,1.7508,34.5102,24.1983,0.8495,15.5574,0.0109,286.6901,22.4271,14.3728,2.5676,0.3285,0.2571,34.2675,1026.4304,1.2472,8.7701,0.2134,24198.2348,8696.1655,1546.7727,1476.8353,133.5374,5
21395,10000191,(米菈的食譜) 氣炸 花生起酥派,479.0481,22.726999999999997,11.8219,35.0637,14.68,1.3407,29.0465,3.9646,235.4386,206.2674,13.7744,64.5547,0.9,1.0698,157.9267,197.0272,10.7668,48.9356,0.6147,14680.0816,12092.0161,8291.6282,12805.4535,0.0,5
21396,10000196,(自製奶酥醬) 奶酥厚片,556.7111,7.9299,8.7046,42.0074,29.6604,2.5215,38.8367,0.0,373.4695,377.9556,300.4091,30.9181,0.1588,1.0379,231.5456,1666.4459,1.2383,6.6217,6.6571,29660.3531,10671.6483,1550.4568,8623.3294,116.2604,5
21397,10000210,(附圖)  手工巧克力擠花餅乾,442.6335,19.5711,5.5083,25.2598,16.8067,0.7184,48.9424,1.6976,23.8722,299.1008,23.2271,29.4244,1.3885,0.7635,89.9405,909.4114,1.5662,25.5776,1.8154,16806.6763,6771.9955,1271.5139,5245.08,111.9713,5
21398,10000212,(玻璃瓶烘培)蘋果巧克力蛋糕,271.7285,53.7386,5.5037,19.1403,12.0573,0.8704,20.7471,3.3351,40.5715,248.8588,40.7247,50.2259,2.5153,1.1745,122.4236,517.7519,2.1993,23.3466,1.3426,12057.3189,5805.7082,1100.7979,5091.6666,129.0878,5
21399,10000218,(氣炸鍋)巴斯克乳酪蛋糕(懶人版),278.8193,52.3105,10.5833,20.171,13.6257,2.2038,15.4582,0.0193,648.2539,85.7271,258.2488,14.3672,0.9587,1.4896,226.2947,792.1137,1.0449,21.4201,1.0219,13625.645,5469.7236,945.7009,11342.9356,153.0438,5
21400,10000221,(氣炸鍋)豆腐乾,366.0102,50.6377,5.4064,35.4752,6.077000000000001,0.9149,7.5743,1.6446,7.2452,116.6704,107.0625,40.1551,3.8496,0.5448,72.6091,86.8233,7.7106,24.1565,0.0543,6076.8941,24889.2104,4509.2563,5452.7642,0.0,5
