Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
43665,10041303,焦糖布甸,235.9662,50.0565,3.6188,13.7094,6.8464,0.5697,25.7079,0.0,42.4067,84.1861,57.803000000000004,7.6072,0.42200000000000004,0.49200000000000005,74.6271,175.6257,0.6244,12.789000000000001,0.1342,6846.3888,6209.4257,642.7341,3853.4362,91.8002,7
43666,10041305,打邊爐豬骨湯底,46.0384,88.6768,1.5403,0.8085,0.2473,0.5595,8.4149,2.1715,3.2731,227.0271,8.1882,17.2228,0.4594,0.3797,40.3996,1063.5297,0.7602,11.5631,10.0953,247.3252,285.7176,275.4598,877.5651,0.1778,7
43667,10041313,香滷牛腱 聖誕派對,99.8579,32.4574,5.9654,2.4774,0.5875,2.6208,12.1865,3.582,978.1110000000001,200.1099,25.4882,29.105,2.0063,0.2145,28.4084,35.6741,0.6308,11.0348,1.224,314.2682,869.6137,561.8197,1766.148,9.2654,7
43668,10041314,黑木耳辣炒小黃瓜,34.8891,92.0677,1.6941,2.0578,0.3274,1.0312,3.1492,1.7080000000000002,193.4409,166.3375,23.7185,25.2509,0.4957,0.2441,49.3931,301.5839,2.0063,11.3658,10.4478,327.2809,718.8703,1011.3874,808.7773,0.0,7
43669,10041315,香脆炸薯片,239.2966,62.0269,2.0442,19.9087,3.1793,2.5578,13.4698,1.4091,344.9626,781.0818,15.1364,23.0931,1.3751,0.8229,31.939,1.2491,15.9598,10.8288,22.666,3179.2721,4688.2861,11835.9504,1622.2553,0.0,7
43670,10041327,南瓜粟米湯,82.8729,79.1425,1.3718,0.8785,0.19399999999999998,0.7172,17.89,3.1833,2.7677,324.92400000000004,14.5596,21.506999999999998,0.4933,0.325,57.7617,3329.8340000000003,0.5017,9.3125,15.4754,193.9673,230.593,233.1476,908.4465,0.0,7
43671,10041336,簡易燴蕃薯,122.3155,69.443,1.055,0.1138,0.0,0.9324,28.4558,2.8412,87.0161,271.778,32.5186,22.4563,1.1242,0.3033,44.854,0.0,0.156,18.0027,20.137,0.0,0.0,0.0,0.0,0.0,7
43672,10041337,鳳梨苦瓜湯,64.2949,86.1389,2.9918,3.0592,1.2761,1.0523,6.7598,1.8718,115.4808,344.3391,19.8757,14.0655,0.4074,0.5166,41.1567,22.8459,0.4667,40.5853,26.2472,1276.0772,1348.7047,420.8983,2062.9932,9.8336,7
43673,10041339,蘿蔔燒雞翼 快速入味版,66.7998,79.7858,3.9128,3.3993,0.9737,0.9949,4.9482,0.8867,343.9497,130.1806,21.6769,13.5607,0.6818,0.5146,40.183,34.8334,0.0827,16.1856,9.7287,973.6481,1394.6464,948.2305,3330.3426,20.4434,7
43674,10041343,酥炸銀魚Whitebit[滋味小吃,94.9196,75.7153,9.7142,0.9596,0.2113,1.7062,11.9047,1.1913,185.5475,360.8349,162.1028,170.2795,0.6046,0.7604,141.6383,550.9162,2.1987,12.8989,34.3203,211.2365,167.347,475.9994,7741.284000000001,99.5097,7
43675,10041349,苦瓜封肉,86.9392,83.50299999999999,6.8616,4.8186,1.776,1.3622,3.906,1.8548,200.13400000000001,394.3177,24.648000000000003,18.4744,0.8817,0.9829,94.3657,2319.1778,0.6878,43.1024,21.6426,1776.0744,2077.3063,918.2132,5442.1044,41.5204,7
43676,10041351,麻油煎雞蛋,267.4452,59.961000000000006,5.5677,25.7646,5.0218,4.0119,4.7364,1.0688,695.2459,1059.2841,34.9042,17.1029,1.5746,0.7023,85.1029,243.0634,14.9903,43.373999999999995,1.2309999999999999,5021.7967,10109.7183,10607.8241,5289.8069,158.9642,7
43677,10041352,自製食材 蛋豆腐,71.3321,86.4628,6.8793,4.4661,1.3774,1.0546,1.1372,0.7983,147.0437,272.3637,26.2645,18.794,0.9626,0.6902,111.361,201.0366,1.3014,33.6145,0.2268,1377.3338,1688.5362,1396.6911,6583.6924,141.3629,7
43678,10041360,蕃茄洋蔥煎豬排,115.4634,55.0095,6.8638,8.4894,3.4842,0.7426,2.5927,0.4198,73.6057,226.4003,20.2044,10.5418,0.527,0.9872,69.0225,328.5078,0.2468,5.6385,3.7551,3484.2027,3792.2117,1165.0228,6072.99,28.2404,7
43679,10041363,杞子桂圓雪梨茶,41.6095,48.9958,0.2534,0.0694,0.0252,0.2431,10.8454,0.6878,1.8285,93.0724,1.9375,3.8304,0.1383,0.0848,8.5119,0.9927,0.1034,2.4358,2.6062,25.1894,27.6436,12.5357,45.294,0.0,7
43680,10041365,芋頭泥 VICI的懶人廚房,211.1894,54.8695,4.5575,7.3963,4.5761,1.49,31.6867,1.8029,67.3104,504.5796,111.9686,31.8957,0.7342,2.0228,118.4857,380.0106,0.1828,13.3014,8.9033,4576.1018,1711.3349,224.9077,2636.0747,18.7473,7
43681,10041371,烤地瓜,120.6673,70.0127,1.278,0.1527,0.1085,0.7915,27.7651,2.5429,51.2171,276.1774,46.1476,23.6806,0.3222,0.1657,42.2381,116.4703,0.5043,15.4755,19.8437,108.5285,10.5852,30.259,0.0,0.0,7
43682,10041372,香辣豉油皇蘿蔔粒,137.3777,63.5261,1.2442,0.2046,0.0364,1.1974,33.8278,1.9725,445.5636,146.18,32.9828,15.7868,0.6648,0.2764,25.0927,345.2155,0.1522,16.0742,11.2093,36.4127,33.2899,58.7753,765.7068,0.0,7
43683,10041380,七彩繽紛釀雞翼,105.4877,81.8422,7.0622,6.9133,2.0196,0.5666,3.6636,1.0389,51.3365,184.239,13.6549,15.5813,0.4857,0.815,67.6819,3025.9462,0.2658,14.0058,7.1406,2019.5891,2885.6311,1981.5846,6235.5509999999995,42.1428,7
43684,10041385,奶油南瓜紅酒牛腩,92.5276,42.6391,6.4688,3.8022,2.0984,1.2191,8.011000000000001,0.9304,442.1908,261.3663,12.5535,17.174,0.9033,0.1661,28.6321,1165.0018,0.4072,23.0082,5.292999999999999,1465.1021,516.1178,103.5607,1146.8893,20.4932,7
43685,10041386,茶油煎紫色山藥餅,116.8227,69.8817,2.6813,0.932,0.1031,0.9065,24.4394,1.3849,3.9408,498.7857,15.7282,15.7979,0.8005,0.7521,48.2684,0.7189,0.5854,8.2563,6.5893,103.132,538.8284,186.9138,2086.0178,0.0,7
43686,10041387,糖蜜紫色山藥片,97.5245,73.3088,2.7344,0.1095,0.0,0.9204,21.2267,1.449,4.123,524.0785,9.2595,15.0674,0.7967,0.7593,47.1116,1.0342,0.3796,8.0949,7.6727,0.0,0.0,0.0,2075.791,0.0,7
43687,10041388,XO醬涼拌苦瓜,84.9462,79.1255,1.0656,1.5082,0.3037,0.6351,17.6658,2.5118,57.9272,194.2889,29.0549,16.5327,0.6048,0.1611,28.9499,108.8814,1.475,54.7781,32.2467,303.7342,418.9896,782.6765,267.3942,0.1204,7
43688,10041389,青醬焗燉飯 VICI的懶人廚房,144.5209,75.0632,1.4238,9.5731,4.8704,0.4141,13.5267,0.6168,97.2602,66.5333,11.4722,5.6465,0.2287,0.2876,23.329,185.4744,0.9475,4.6576,2.2944,4870.3591,3979.8886,692.7963,1262.1517,16.7673,7
43689,10041391,清蒸南瓜佐堅果醬,104.5196,75.4659,3.0677,2.9601,0.6014,1.0134,17.4929,3.0089,16.8508,442.1958,27.8354,27.7168,0.8236,0.4371,63.6214,3600.2184,2.2066,64.843,14.8534,601.4487,1386.4494,970.5874,2972.4174,0.0,7
43690,10041396,只要2顆蛋1根香蕉的香蕉鬆餅,107.8151,75.8109,6.5656,4.1232,1.4272,0.777,12.7235,0.8714,64.7766,260.6334,22.5518,17.9656,1.0991,0.8557,98.4635,254.8826,0.9946,40.4248,6.0274,1427.1422,1831.9926,859.7539999999999,5922.3929,177.9741,7
43691,10041399,韓味道 彩椒泡菜焗飯,151.6403,68.025,6.1819,5.0468,2.8925,1.0334,19.9154,0.6962,247.8592,125.7492,80.9279,11.9291,0.3709,1.0044,102.3872,581.4101,0.6601,7.9427,33.9664,2892.5474,1539.7929,477.092,5897.9783,17.5865,7
43692,10041401,(簡易食譜)麻醬金菇,165.9566,69.7968,6.0174,12.2753,2.4728,3.1822,8.7284,3.7591,346.5708,882.7352,132.5588,57.2796,2.7408,1.1888,158.2416,0.0,39.4302,47.3827,0.0,2472.8027,3868.2882,5927.0014,4751.3773,0.0,7
43693,10041407,醃白蘿蔔,71.4461,65.3274,0.2878,0.067,0.0,0.4872,18.093,0.5715,85.8569,151.5872,14.2862,5.1012,0.1073,0.1388,9.8246,0.0,0.0,9.0821,7.2851,0.0,0.0,0.0,0.0,0.0,7
43694,10041408,夢想的熱汽球,70.3009,80.7305,1.6509,0.185,0.0659,0.7858,16.6478,2.3777,1.5843,382.7458,13.7984,15.5297,0.4471,0.2853,41.3609,3148.3513,0.9662,52.3254,15.6359,65.9489,52.3272,57.6728,1409.3198,0.0,7
43695,10041410,自製酸奶Buttermilk,70.1643,86.0891,3.0358,3.7949,2.5948,0.8823,6.1979,0.0102,36.6844,139.203,110.0552,12.9029,0.0678,0.4772,91.4171,141.9168,0.0845,0.9821,2.3607,2594.8633,1040.7743,157.8678,3423.6509,14.1887,7
